AT5G66200,HARXL14
AT5G65210,HARXLL515
AT5G61390,HARXLL518_WACO9
AT5G59650,HOPAB_group
AT5G57280,AT5G62230
AT5G57210,HARXLL470_WACO9
AT5G57210,ATR13_group
AT5G55100,HARXLL470_WACO9
AT5G55100,HARXL21
AT5G55100,ATR1_group
AT5G52840,AT5G67200
AT5G52750,ATR13_group
AT5G50010,HARXLL60
AT5G44700,AT5G65790
AT5G44110,AT5G58430
AT5G43700,HOPH1_group
AT5G40590,AT5G43020
AT5G27860,HARXL44
AT5G25070,HARXLL446
AT5G24660,HopZ_group
AT5G24660,HARXLL60
AT5G24660,ATR13_group
AT5G23340,AT5G42190
AT5G20030,HopBF1_Pla 107
AT5G20000,HopBF1_Pla 107
AT5G19990,HopBF1_Pla 107
AT5G19480,HARXLL470_WACO9
AT5G19480,HARXL44
AT5G19150,AT5G48740
AT5G16940,HopO1-2_Pto DC3000
AT5G14390,HARXL68
AT5G48740,AT5G61010
AT5G12230,HARXL44
AT5G11980,HARXL73
AT5G06780,HOPAB_group
AT5G06780,HARXLL518_WACO9
AT5G06780,HARXL73
AT5G05760,AT5G08080
AT5G05190,AT5G58430
AT5G02150,HARXL73
AT5G02150,ATR13_group
AT5G02050,HARXL89
AT4G39400,AT5G58220
AT4G38800,HOPAF1_group
AT4G36540,HopP1_Pto DC3000
AT4G35260,AT5G03290
AT4G35100,AT5G08080
AT4G34710,ATR13_group
AT4G34220,AT5G22310
AT4G34190,AT5G08080
AT4G34120,HOPR1_group
AT4G32750,AT5G08080
AT4G32140,AT5G08080
AT4G28720,AT5G08080
AT4G28490,AT4G36180
AT4G28040,AT5G08080
AT4G26110,HARXLL73_group
AT4G26110,HARXL79
AT4G26100,AT4G39270
AT4G24840,HARXLL73_group
AT4G24840,HARXLL60
AT4G24840,HARXLL518_WACO9
AT4G24840,HARXL73
AT4G24840,ATR13_group
AT4G23570,AT5G51700
AT4G23570,AT4G37460
AT4G37250,AT5G59790
AT4G37250,AT5G22310
AT4G22130,AT4G30940
AT4G20380,AT5G08520
AT4G18205,AT5G08080
AT4G17710,avrB_group
AT4G32190,ATR13_group
AT4G16380,HARXL44
AT4G14950,AT5G08080
AT4G14730,AT5G08080
AT4G14455,AT5G08080
AT4G14160,AT5G08080
AT4G11320,AT5G22290
AT4G11320,AT4G35580
AT4G11260,AT5G51700
AT4G11070,AvrRps4_Pph 1448A
AT4G10930,AT4G36180
AT4G10840,AT5G67200
AT4G10430,AT5G08080
AT4G10400,AT5G42190
AT5G56950,HARXLL73_group
AT5G56950,HARXL79
AT5G56950,HARXL143
AT4G08500,AT4G26070
AT4G08150,HOPAB_group
AT4G03410,AT5G08080
AT4G03150,AT5G45100
AT4G16143,HARXL106_group
AT4G01920,avrPto_group
AT4G01430,AT5G08080
AT4G00710,AVRRPT2_group
AT3G61310,AT4G04020
AT3G61200,ATR1_group
AT3G60590,AT5G08080
AT3G59350,AT5G61010
AT3G59350,AT4G13000
AT3G59200,AT5G42190
AT3G57830,AT4G04720
AT3G57720,HOPAB_group
AT4G15140,HARXLL470_WACO9
AT3G55600,AT5G08080
AT3G55150,AT4G02550
AT3G54850,HARXL73
AT3G54850,ATR13_group
AT3G54850,AT5G45780
AT3G54850,AT5G37450
AT3G54820,AT5G08080
AT3G54170,HARXL73
AT3G54020,AT5G08080
AT3G53410,avrPto_group
AT3G51450,AT5G08080
AT3G50920,AT5G08080
AT3G50910,ATR13_group
AT3G50910,AT5G51560
AT3G50230,AT4G22250
AT3G50230,AT4G11100
AT5G08330,HARXL10_WACO9
AT4G36970,HARXLL470_WACO9
AT4G30490,AT5G08080
AT3G48550,HOPR1_group
AT3G46940,HOPR1_group
AT3G46060,AT5G08080
AT4G02150,HARXLL445_group
AT4G02150,HARXL106_group
AT4G02150,AT4G04020
AT4G02150,AT4G02550
AT3G44670,AT4G02150
AT3G43520,AT5G08080
AT3G42725,AT5G08080
AT3G29035,AT5G67200
AT3G29034,AT5G08080
AT3G28080,AT5G08080
AT4G23050,AT5G01890
AT3G27960,HOPAB_group
AT3G27960,HARXLL73_group
AT3G27960,HARXLL60
AT3G27960,HARXL79
AT3G27960,HARXL73
AT3G27960,ATR13_group
AT3G27960,AT5G67200
AT3G27960,AT5G66910
AT3G25710,ATR1_group
AT3G25585,AT5G08080
AT3G25220,AT5G08080
AT3G25190,AT5G08080
AT3G23340,AT4G39270
AT3G23060,AT5G45490
AT3G23060,AT4G26540
AT3G22570,AT5G08080
AT3G22550,AT3G49570
AT3G22440,AT5G45350
AT3G22440,AT4G25110
AT3G22440,AT4G23470
AT3G22110,AT3G49570
AT3G21490,HARXL44
AT3G21175,AT5G10020
AT3G20510,AT5G08080
AT3G20260,AT4G02550
AT4G24500,AT5G67200
AT4G24500,AT5G05160
AT3G19860,AT5G04720
AT3G19700,HARXLL445_group
AT3G18280,AT5G08080
AT3G17440,AT5G08080
AT3G17410,avrB_group
AT3G15430,AT5G42190
AT3G15420,AT3G23750
AT3G15060,AT5G08080
AT3G14470,AT4G02590
AT4G20790,AT5G66560
AT4G20790,AT5G57910
AT3G20680,AT3G49570
AT3G13520,AT5G08080
AT3G13310,AT3G49570
AT3G13222,AT3G20190
AT3G12930,AT3G49570
AT5G66480,HARXLL495
AT5G66480,HARXLL492
AT5G66480,HARXL149
AT3G11820,AT5G66480
AT3G11820,AT5G22290
AT3G11820,AT5G08080
AT3G11820,AT4G35580
AT3G11820,AT4G26450
AT3G11820,AT4G19030
AT3G11820,AT3G16310
HOPM1_group,HOPM1_group
AT3G11720,HOPM1_group
AT3G10970,AT3G49570
AT3G10250,HARXLL515
AT3G10250,HARXLL464
AT3G10140,AT3G49570
AT3G09630,HARXLL470_WACO9
AT3G08740,AT3G49570
AT3G29160,AT3G49570
AT3G17668,AT3G49570
AT3G15160,AT3G49570
AT3G07480,AT3G49570
AT3G07440,AT3G49570
AT3G07440,AT3G07780
AT3G07310,AT4G02550
AT5G05160,AT5G59790
AT5G05160,AT5G22310
AT3G56100,AT5G22310
AT3G56100,AT5G03670
AT3G56100,AT4G35110
AT3G56100,AT4G15140
AT3G51740,AT4G35110
AT3G51740,AT4G13540
AT3G17840,AT5G59790
AT3G17840,AT4G35110
AT3G17840,AT4G30780
AT3G17840,AT4G28230
AT3G17840,AT4G27060
AT3G17840,AT4G01090
AT3G08680,AT4G28230
AT3G06790,AT3G49570
AT3G06720,HARXL106_group
AT3G06720,AT4G04020
AT3G06720,AT4G02550
AT3G06430,AT5G58430
AT3G06430,AT4G11890
AT3G05935,AT3G07780
AT3G05625,AT3G49570
AT3G05330,AT3G07780
AT3G05020,AT4G09420
AT3G03950,AT5G45780
AT4G35580,HOPD1_group
AT4G35580,HARXLL60
AT4G35580,HARXLL495
AT4G35580,HARXLL492
AT4G35580,HARXL149
AT4G35580,AT5G08080
AT4G19030,HOPD1_group
AT4G19030,HARXLL492
AT4G19030,HARXL149
AT4G19030,AT5G08080
AT3G60600,HARXLL495
AT3G60600,HARXLL492
AT3G60600,HARXL149
