Node,Shell,Shell_number,Wk_mean-normalized,Wk_min-max-normalization
AT5G08080,4785,76,2.9726179799057038,1.0
AT3G49570,3862,75,2.915543813628314,0.9866666666666667
AT1G34420,841,74,2.858469647350924,0.9733333333333334
AT1G22920,810,73,2.801395481073534,0.96
AT5G42190,747,72,2.744321314796144,0.9466666666666667
AT1G75950,643,71,2.6872471485187543,0.9333333333333333
AT3G07780,592,70,2.6301729822413646,0.92
AT3G47620,458,69,2.5730988159639745,0.9066666666666666
AT1G55190,424,68,2.516024649686585,0.8933333333333333
AT3G13720,399,67,2.4589504834091946,0.88
AT1G76850,364,66,2.401876317131805,0.8666666666666667
AT1G11130,318,65,2.344802150854415,0.8533333333333334
AT4G04020,225,64,2.287727984577025,0.84
AT4G02550,211,63,2.230653818299635,0.8266666666666667
ATR13_group,202,62,2.1735796520222452,0.8133333333333334
AT1G06460,149,61,2.116505485744855,0.8
HARXLL470_WACO9,144,60,2.0594313194674654,0.7866666666666666
ATR1_group,126,59,2.0023571531900757,0.7733333333333333
AT5G22310,108,58,1.9452829869126855,0.76
AT3G48150,98,57,1.8882088206352956,0.7466666666666667
AT1G69690,93,56,1.8311346543579057,0.7333333333333333
AT3G49580,84,55,1.774060488080516,0.72
AT4G27060,74,54,1.716986321803126,0.7066666666666667
avrPto_group,70,53,1.6599121555257363,0.6933333333333334
AT4G01090,70,53,1.6599121555257363,0.6933333333333334
AT4G09420,66,52,1.6028379892483464,0.68
HARXL73,62,51,1.5457638229709565,0.6666666666666666
AT3G07120,61,50,1.4886896566935666,0.6533333333333333
AT1G12290,58,49,1.4316154904161766,0.64
avrB_group,57,48,1.3745413241387867,0.6266666666666667
AT1G73190,52,47,1.3174671578613968,0.6133333333333333
AT2G33120,52,47,1.3174671578613968,0.6133333333333333
AT4G34740,52,47,1.3174671578613968,0.6133333333333333
AT2G03120,52,47,1.3174671578613968,0.6133333333333333
AT5G51100,52,47,1.3174671578613968,0.6133333333333333
AT5G38420,52,47,1.3174671578613968,0.6133333333333333
AT1G20630,52,47,1.3174671578613968,0.6133333333333333
AT3G12930,52,47,1.3174671578613968,0.6133333333333333
AT3G25190,52,47,1.3174671578613968,0.6133333333333333
AT1G52870,52,47,1.3174671578613968,0.6133333333333333
AT1G77400,52,47,1.3174671578613968,0.6133333333333333
AT2G30390,52,47,1.3174671578613968,0.6133333333333333
AT3G51180,52,47,1.3174671578613968,0.6133333333333333
AT1G63120,52,47,1.3174671578613968,0.6133333333333333
AT3G28080,52,47,1.3174671578613968,0.6133333333333333
AT3G15060,52,47,1.3174671578613968,0.6133333333333333
AT2G35240,52,47,1.3174671578613968,0.6133333333333333
AT3G29160,52,47,1.3174671578613968,0.6133333333333333
AT5G11090,52,47,1.3174671578613968,0.6133333333333333
AT2G45770,52,47,1.3174671578613968,0.6133333333333333
AT1G75630,52,47,1.3174671578613968,0.6133333333333333
AT1G54770,52,47,1.3174671578613968,0.6133333333333333
AT2G26800,52,47,1.3174671578613968,0.6133333333333333
AT5G17790,52,47,1.3174671578613968,0.6133333333333333
AT2G43510,52,47,1.3174671578613968,0.6133333333333333
AT3G07480,52,47,1.3174671578613968,0.6133333333333333
AT4G14950,52,47,1.3174671578613968,0.6133333333333333
AT3G13310,52,47,1.3174671578613968,0.6133333333333333
avrC_group,52,47,1.3174671578613968,0.6133333333333333
AT1G16790,52,47,1.3174671578613968,0.6133333333333333
AT3G60820,52,47,1.3174671578613968,0.6133333333333333
AT2G16850,52,47,1.3174671578613968,0.6133333333333333
AT4G10430,52,47,1.3174671578613968,0.6133333333333333
AT1G53350,52,47,1.3174671578613968,0.6133333333333333
AT1G50430,52,47,1.3174671578613968,0.6133333333333333
AT2G37180,52,47,1.3174671578613968,0.6133333333333333
HOPR1_group,52,47,1.3174671578613968,0.6133333333333333
AT5G49210,52,47,1.3174671578613968,0.6133333333333333
AT1G27700,52,47,1.3174671578613968,0.6133333333333333
AT3G01370,52,47,1.3174671578613968,0.6133333333333333
AT3G48090,52,47,1.3174671578613968,0.6133333333333333
AT5G65683,52,47,1.3174671578613968,0.6133333333333333
AT1G22840,52,47,1.3174671578613968,0.6133333333333333
AT1G25275,52,47,1.3174671578613968,0.6133333333333333
AT5G25220,52,47,1.3174671578613968,0.6133333333333333
AT4G14455,52,47,1.3174671578613968,0.6133333333333333
AT1G24625,52,47,1.3174671578613968,0.6133333333333333
AT4G30490,52,47,1.3174671578613968,0.6133333333333333
AT4G02020,52,47,1.3174671578613968,0.6133333333333333
AT4G08460,52,47,1.3174671578613968,0.6133333333333333
AT4G36970,52,47,1.3174671578613968,0.6133333333333333
AT3G20680,52,47,1.3174671578613968,0.6133333333333333
AT2G39250,52,47,1.3174671578613968,0.6133333333333333
AT1G32580,52,47,1.3174671578613968,0.6133333333333333
AT3G22550,52,47,1.3174671578613968,0.6133333333333333
AT2G39960,52,47,1.3174671578613968,0.6133333333333333
AT3G54020,52,47,1.3174671578613968,0.6133333333333333
AT2G42260,52,47,1.3174671578613968,0.6133333333333333
AT3G22110,52,47,1.3174671578613968,0.6133333333333333
AT4G28040,52,47,1.3174671578613968,0.6133333333333333
AT3G02690,52,47,1.3174671578613968,0.6133333333333333
AT1G33800,52,47,1.3174671578613968,0.6133333333333333
AT1G26740,52,47,1.3174671578613968,0.6133333333333333
AT3G18280,52,47,1.3174671578613968,0.6133333333333333
AT4G18205,52,47,1.3174671578613968,0.6133333333333333
AT1G18720,52,47,1.3174671578613968,0.6133333333333333
AT5G61340,52,47,1.3174671578613968,0.6133333333333333
AT2G36900,52,47,1.3174671578613968,0.6133333333333333
AT1G29120,52,47,1.3174671578613968,0.6133333333333333
AT1G01230,52,47,1.3174671578613968,0.6133333333333333
AT1G01140,52,47,1.3174671578613968,0.6133333333333333
AT3G03800,52,47,1.3174671578613968,0.6133333333333333
AT2G31890,52,47,1.3174671578613968,0.6133333333333333
AT3G17668,52,47,1.3174671578613968,0.6133333333333333
AT3G13520,52,47,1.3174671578613968,0.6133333333333333
AT5G23130,52,47,1.3174671578613968,0.6133333333333333
AT2G34720,52,47,1.3174671578613968,0.6133333333333333
AT5G37550,52,47,1.3174671578613968,0.6133333333333333
AT1G48140,52,47,1.3174671578613968,0.6133333333333333
AT3G15160,52,47,1.3174671578613968,0.6133333333333333
AT3G10970,52,47,1.3174671578613968,0.6133333333333333
AT4G19030,52,47,1.3174671578613968,0.6133333333333333
AT2G45070,52,47,1.3174671578613968,0.6133333333333333
AT5G19750,52,47,1.3174671578613968,0.6133333333333333
AT1G04340,52,47,1.3174671578613968,0.6133333333333333
AT5G54190,52,47,1.3174671578613968,0.6133333333333333
AT2G31490,52,47,1.3174671578613968,0.6133333333333333
AT1G11430,52,47,1.3174671578613968,0.6133333333333333
AT3G25220,52,47,1.3174671578613968,0.6133333333333333
AT1G49850,52,47,1.3174671578613968,0.6133333333333333
AT5G60120,52,47,1.3174671578613968,0.6133333333333333
AT4G34190,52,47,1.3174671578613968,0.6133333333333333
AT3G06790,52,47,1.3174671578613968,0.6133333333333333
AT1G27300,52,47,1.3174671578613968,0.6133333333333333
AT2G38270,52,47,1.3174671578613968,0.6133333333333333
AT2G46870,52,47,1.3174671578613968,0.6133333333333333
AT4G14160,52,47,1.3174671578613968,0.6133333333333333
AT3G10140,52,47,1.3174671578613968,0.6133333333333333
AT3G60360,52,47,1.3174671578613968,0.6133333333333333
AT3G25585,52,47,1.3174671578613968,0.6133333333333333
AT5G05760,52,47,1.3174671578613968,0.6133333333333333
AT3G11820,52,47,1.3174671578613968,0.6133333333333333
AT3G56290,52,47,1.3174671578613968,0.6133333333333333
AT5G63350,52,47,1.3174671578613968,0.6133333333333333
AT3G50920,52,47,1.3174671578613968,0.6133333333333333
AT1G31817,52,47,1.3174671578613968,0.6133333333333333
AT3G42725,52,47,1.3174671578613968,0.6133333333333333
AT3G60600,52,47,1.3174671578613968,0.6133333333333333
AT2G47770,52,47,1.3174671578613968,0.6133333333333333
HOPV1_group,52,47,1.3174671578613968,0.6133333333333333
AT5G16150,52,47,1.3174671578613968,0.6133333333333333
AT3G51450,52,47,1.3174671578613968,0.6133333333333333
AT4G12450,52,47,1.3174671578613968,0.6133333333333333
AT5G22890,52,47,1.3174671578613968,0.6133333333333333
AT4G28720,52,47,1.3174671578613968,0.6133333333333333
AT4G14730,52,47,1.3174671578613968,0.6133333333333333
AT1G04930,52,47,1.3174671578613968,0.6133333333333333
AT2G32840,52,47,1.3174671578613968,0.6133333333333333
AT5G54580,52,47,1.3174671578613968,0.6133333333333333
AT4G35100,52,47,1.3174671578613968,0.6133333333333333
AT1G77380,52,47,1.3174671578613968,0.6133333333333333
AT2G39100,52,47,1.3174671578613968,0.6133333333333333
